rank	doc_id	section_id	score	text
1	building-typologies-design-guide	building-typologies-design-guide:sec-preamble	0.0323	: INTERIOR SPACE PROGRAMMING (Primary, Support, Specialty) \| \|  │ \| \| LEVEL 3: TECHNICAL & ENVIRONMENTAL SYSTEMS (Lighting, Thermal, HVAC) \| \|  │ \| \| LEVEL 4: EXTERIOR & MACRO PLANNING (Parking, Landscape, Access) \| \|  │ \| \| LEVEL 5: CONSTRUCTION DETAILING (Structural Grids, Fabrication Specs) \| +----------------------------------------------------------------───── ───+ To create a functional building, programming must progress through five sequential design layers: 1. Fundamentals: Formulating design parameters based on human scale (anthropometry), localized site analysis, climate variables, and historical styles. 2. Interior & Room Design: Sizing rooms, clearances, and circulation paths to optimize spatial sequences. 3. Technical & Environmental Systems: Integrating mechanical, electrical, and plumbing infrastructure alongside lighting, thermal comfort, and acoustics. 4. Exterior & Macro Planning: Designing the site layout, vehicular parking, loading docks, and landscaping. 5. Construction Details: Generating structural grids, joinery drawings, material specifications, and construction documents. In typological history, a clear distinction is maintained between the "bones" of a b
2	by-laws-1977	by-laws-1977:sec-10-2.4	0.0323	A party wall between attached dwellings shall have a fire resistance of at least 60 minutes. 
3	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0318	 Design - SteelConstruction.info, https://www.steelconstruction.info/Design 53. Creating Efficient Structural Grids in Mass Timber Buildings - WoodWorks \| Wood Products Council, https://www.woodworks.org/resources/creating-efficient-structural-grids-in-mass-timber-buildings / 54. Timber Span Tables \| - structural engineering, https://civilsguide.com/resources/timber-span-tables/ 55. Recommended STC Ratings by Room & Building Type - Commercial Acoustics, https://commercial-acoustics.com/guides/recommended-stc-ratings/ 56. Understanding Acoustical Wall Designs: 6 Variables That Affect STC, https://www.nationalgypsum.com/ngconnects/blog/acoustics/understanding-acoustical-wall-desi gns-variables-affect-stc-ratings 57. A Deep Dive into Glass Wall STC Ratings - MetroWall, https://metro-wall.com/a-deep-dive-into-glass-wall-stc-ratings/ 58. Understanding Sound Transmission Class (STC) Rating - Acoustical Surfaces, https://www.acousticalsurfaces.com/blog/acoustics-education/sound-transmission-class-stc-ratin g/ 59. Understanding Sound Transmission Class (STC) Ratings - NGC Testing Services, https://www.ngctestingservices.com/blog/sound-transmission-class-ratings 60. Thermal Comfort Basics: 
4	building-typologies-design-guide	building-typologies-design-guide:sec-preamble	0.0297	ations, and construction documents. In typological history, a clear distinction is maintained between the "bones" of a building type and its applied decorative style. When a functional form is combined with regional stylistic motifs, it yields a distinctive architectural expression. For example, the Shotgun house type—characterized by its narrow, one-room-wide, single-story plan—displays classical columns and deep porches when built in the Greek Revival style, but features exposed rafter tails, decorative brackets, and deep overhangs when executed as an Arts and Crafts double-shotgun. Similarly, the Creole Cottage utilizes timber framing and a recessed gallery to handle regional humidity, while avoiding decoration that conflicts with its structural layout. Stylistic overlays evolve across eras to balance aesthetics, construction methods, and cultural values. The early twentieth century saw the emergence of Eclectic and Exotic Revivals, which scaled down grand historical precedents into residential models. This trend produced Spanish Mission cottages with faux bell towers, Norman Revival farmhouses compressed to compact footprints, and Renaissance palazzos translated into single-fam
5	saz-catalogue	saz-catalogue:sec-74-83.120	0.0281	ZWS ISO 9852 Unplasticized poly(vinyl chloride) (PVC-U) pipes — Di-chloromethane resistance at specified temperature (DCMT) — Test method 
6	saz-catalogue	saz-catalogue:sec-preamble	0.0280	e and e) Publication stage During the development of Zimbabwe Standards, drafts are circulated to Technical Committee and or Subcommittee members for perusal and comment. Differences of view on technical content of a standard are resolved through consensus. The technical committee ultimately produces a final draft which is then circulated for comment, not only to technical committee members but also to Standards Approval Committee members, other national standards bodies and any other organizations and persons who have indicated an interest in the project. Final drafts are also posted on website and workshopped as necessary. This procedure is designed to ensure that the published standard is acceptable to as many interested groups as possible. The SAZ Standards Development Update contains a list of all the standards projects that are in progress and a list of national Standards and amendments published during the previous six-month period. The SAZ Standards Development Update is published twice a year, in January and July. 3 SAZ Standards Development Update July –December 2022 HOW TO USE THIS PUBLICATION 1. Standards Projects in Progress 
7	saz-catalogue	saz-catalogue:sec-39-79.040	0.0251	Preparation of pipe test pieces Published 83.120 1 Idt ISO 1167-2 ZWS ISO 1167-3 Thermoplastics pipes, fittings, and assemblies for the con-veyance of fluids – Determination of the resistance to in-ternal pressure Part 3: Preparation of components Published 83.120 1 Idt ISO 1167-3 ZWS ISO 1167-4 Thermoplastics pipes, fittings, and assemblies for the con-veyance of fluids – Determination of the resistance to in-ternal pressure Part 4: Preparation of assemblies Published 83.120 1 Idt ISO 1167-4 ZWS ISO 9852 Unplasticized poly(vinyl chloride) (PVC-U) pipes — Di-chloromethane resistance at specified temperature (DCMT) — Test method Published 83.120 1 Idt ISO 9852 ZWS ISO 2505 Thermoplastics pipes — Longitudinal reversion — Test method and parameters Published 83.120 1 Idt ISO 2505 ZWS ISO 3127 Thermoplastics pipes – Determination of resistance to exter-nal blows – Round-the-clock method Published 83.120 1 Idt ISO 3127 ISO 21138-3 Plastic piping systems for non- pressure underground drainage and sewerage Prep 83.140 1 Idt ISO 21138-3 ISO 1307 Rubber hoses Prep 83.120 2 Idt ISO 1307 MA 054 Specification for steel wheel barrow Prep 77.140 1 KS 153 Specification for metal kitchen unit Prep
8	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0250	150\text{ mm} of load-bearing structure or be hung using joist hangers. Deflection limits must be calculated to prevent cracking in plasterboard ceilings and tile finishes. The standard limit for permanent and imposed load deflection is: w_{fin} \le \frac{L}{250}\text{[span_226](start_span)[span_226](end_span)} For ceilings without brittle finishes, the limit is: w_{fin} \le \frac{L}{150}\text{[span_227](start_span)[span_227](end_span)} Acoustical Comfort and Noise Isolation Acoustic performance in commercial, residential, and educational facilities is measured using the Sound Transmission Class (STC) rating, which quantifies decibel reduction through a wall assembly across key speech frequencies (125\text{ Hz} to 4000\text{ Hz}). +─────────────────────────────────────────────────────────────+ \|  ACOUSTICAL PERFORMANCE WALL  \| +─────────────────────────────────────────────────────────────+ +─────────────────────────────────────────────────────────────+ To ensure speech privacy, the following STC targets are recommended: ● Standard Office to Standard Office: Sized for STC 45 to make loud speech unintelligible between workspaces. ● Executive Office to Executive Office: Sized for STC 
9	building-typologies-design-guide	building-typologies-design-guide:sec-preamble	0.0249	The Complete Guide to All Building Typologies: Spatial Programming, Dimensional Standards, and Environmental Systems Fundamentals of Architectural Programming and Typological Analysis Architectural design relies on the systematic categorization of structures by form and function to study their patterns, requirements, and performance profiles. Building typology serves as a foundational classification system, dividing architectural analysis into Functional Typologies—categorized by the human activities they shelter—and Formal Typologies, which group buildings by their physical footprint, massing, and configuration. Under this framework, a building’s design is a direct manifestation of how its structural "bones" interact with localized site constraints, anthropometric metrics, and historical styles. +------------------------------------------------───────────────────── ───+ \|  SEQUENTIAL DESIGN LAYERS \| +------------------------------------------------───────────────────── ───+ \| LEVEL 1: FUNDAMENTALS (Anthropometry, Site Analysis, Style Archetype) \| \|  │ \| \| LEVEL 2: INTERIOR SPACE PROGRAMMING (Primary, Support, Specialty) \| \|  │ \| \| LEVEL 3: TECHNICAL & ENVIRONMENTAL SYSTEMS (Lighti
10	saz-catalogue	saz-catalogue:sec-39-79.040	0.0244	ZWS 257-4 ZWS 257-5-1 Brandering and battens Stress grade assessment CD Published 79.040 79.040 2 1 Idt SANS 1783-4 Idt SANS 1783-5-1 ZWS 257-5-2 Quality assurance of stress grading. Published 79.040 1 Idt SANS 1783-5-2 ZWS 717 ZWS 184 ZWS ISO 251 The manufacture and erection of timber trusses Wooden doors Specification for conveyor belts Prep Prep Prep 91.080.20 91.060.50 53.040.20 2 2 1 Idt SANS 10243 Idt SANS 545 Idt ISO 251 ZWS 1060: Part 1 Adhesives for wood Part 1: Terminology Published 53.040.20 1 ZWS 1060: Part 2 Adhesives for wood Part 2: Requirements for structural application Published 53.040.20 1 ZWS 1061 Health, safety and environmental guidelines for the construction and operation of timber treatment plants Published 53.040.20 1 ZWS 1087 Structural timber – characteristic values of strength-graded timber – sampling, full-size testing and evaluation Published 53.040.20 1 ZWS 1062 The preservative treatment of timber Published 53.040.20 1 MA 002 ZWS D 986 Non-traditional road additives Final draft 93.080.20 1 13 SAZ Standards Development Update July –December 2022 MA002 ZWS 467 Bitumen for road industrial and purposes Prep 75.140 2 MA002 ZWS 110 Test methods for bitumen
11	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0239	t}) per recovery bed, maintaining a clear separation distance of 1.5\text{ m} (5\text{ ft}) between adjacent gurneys and 1.22\text{ m} (4\text{ ft}) from the sides of beds to adjacent walls. To facilitate routine sanitization, operating rooms require washable wall finishes free of open joints or crevices, while flooring must consist of monolithic, slip-resistant materials with integral coved wall bases carried up the wall a minimum of 152\text{ mm} (6\text{ in}). The minimum finished ceiling height is 3.5\text{ m} (11.5\text{ ft}) to allow ceiling-mounted equipment booms to swing freely. Industrial, Logistics, and Infrastructure Typologies Designing industrial facilities, logistics warehouses, and transport terminals requires aligning structural bay configurations with the travel paths of heavy freight vehicles and passenger flows. Logistics and Loading Dock Design Modern distribution centers are designed with high ceilings to optimize vertical storage rack density. Modern e-commerce and logistics buildings require a clear height of 9.7\text{ m} to 12.2\text{ m} (32\text{ to } 40\text{ ft}), whereas manufacturing plants operate with clearances of 5.5\text{ m} to 9.1\text{ m} (18\te
12	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0237	lSpace-Apr26.pdf 19. Architectural Design: Seating & Sightlines \| PDF - Scribd, https://www.scribd.com/document/938539916/An-Auditorium-is-a-Large-Enclosed-Space-Desig ned-for-Live-Events-Like-Lectures-Performances-And-Concerts-Its-Design-Can-Vary-Based-on- the-Function 20. CLASSROOM SPACE UTILIZATION GUIDELINES - Planning, Design and Construction - Missouri State, https://design.missouristate.edu/_Files/Standards/RoomLayout/ClassroomSpaceUtilizationGuid elines.pdf 21. Classroom Space Guidelines \| Cornell University, https://dbp.cornell.edu/wp-content/uploads/2024/07/Classroom_Space_Guidelines_July_2024.p df 22. Classroom Size and Student Space Standards \| PDF - Scribd, https://www.scribd.com/document/894898027/1-Classroom-Floor-Area-per-Student-LevelReco mmended-AreaSources-Nursery-Pre-school-2-00-m-per-child-MySpace-Architects-Shiksha-Slid eshare-P 23. Home Cinema Seating Layout: Sight Lines, Row Spacing, and Platform Engineering, https://www.modenesebespoke.com/home-cinema-seating-layout-guide/ 24. Setting Out Guidelines - Lecture Theatre Seating, http://www.chartareaseating.com/pdfs/CAS_Blackbook_CAS_Version%20V6_15.pdf 25. Specialties - AUDITORIUM SEATING - Sightlines and Buil
13	saz-catalogue	saz-catalogue:sec-preamble	0.0235	1 SAZ Standards Development Update July –December 2022 7 ZWS 1057:202 ZIMBABWE STANDARDS FOR Manned security services – cash and valuables in transit services (Collection and Delivery) \ Contents Page Introduction 2 How SAZ Standards are developed 3 How to use this publication 3 Section 1: Standards Projects in progress 6 Section 2: Standards published during the 24 preceding month Section 3: Standards reprinted during the 27 preceding six months Section 4: Amendments published during 27 the preceding six months Standards Association of Zimbabwe Postal Address : P.O Box 2259 Harare Zimbabwe Physical Address : Northend Close Northridge Park Borrowdale Harare Zimbabwe Tel : 263-242-82021/8/9 263-242-885511/2 Fax : 263-242-882020 Email : info@saz.org.zw Website : www.saz.org.zw 2 SAZ Standards Development Update July –December 2022 INTRODUCTION The Standards Association of Zimbabwe (SAZ) is the National Standards Body of Zimbabwe. The SAZ depends on the work of its technical committees (TC), whose members give their time and effort without pay or reward, to develop generally acceptable national standards. The basic principles are; that SAZ carries out its task in the national interest
14	saz-catalogue	saz-catalogue:sec-73-53.040.20	0.0235	ZWS 1062 The preservative treatment of timber 53.040.20 1 ZWS ISO 1167-4 Thermoplastics pipes, fittings, and assemblies for the con-veyance of fluids – Determination of the resistance to in-ternal pressure Part 4: Preparation of assemblies 
15	saz-catalogue	saz-catalogue:sec-34-1	0.0233	Reference No. Project/Title Stage ICS Edition Regional, Continental and International relationship Building and Civil Engineering ARSO THC03 BC 007 Relevant projects Prep 77.140 1 SI 168 Steel Products Prep 77.140 1 ZWS 284 Steel fencing materials Prep 77.140 1 BC 26 Revision of 519 Measurement of lettable and tenancy available Prep 47.020.80 1 \ BC001 Revision of 678-1-9 Development maintenance of ground water resources CD 13.060.10 1 BC 012 ZWS 822 Dump proofing materials of buildings Prep 91.100 2 BC 013 SADC ZW HS 981: 2014 Burnt clay masonry units – Specification (SR) Draft 81.060 1 Idt SADC HS 981: 2014 SADC ZW HS 982: 2014 Concrete masonry units – Specification (SR) Prep 81.060 1 Idt SADC HS 982: 2014 ZWS 533: 1996 Laying precast concrete interlocking pavers (SR) Prep 81.060 1 ZWS 187: 1984 Concrete roofing tiles (SR) Prep 81.060 1 ARSO/TC 30 BS EN 13242:2013 Aggregates for unbound and hydraulically bound materials for use in civil engineering work and road construction NWIP 81.060 1 Idt BS EN 13242:2013 BS EN 13285:2018 Unbound mixtures. Specifications NWIP 81.060 1 Idt BS EN 13285:2018 BS EN 933-1:2012 Tests for geometrical properties of aggregates. Determination of partic
16	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0229	nhouse floor area. Two-thirds of this vent area must be located along the roof ridge to allow rising warm air to escape, with the remaining one-third located along the lower side walls at bench level to pull in cooler air. ● Aisle Widths: Greenhouses must provide 915\text{ mm} to 1220\text{ mm} (3\text{ to } 4\text{ ft}) wide main aisles to accommodate carts and staff movement. ● Water Supply: Irrigated agricultural spaces require a reliable water supply sized to deliver at least 12.2\text{ L/m}^2 (0.3\text{ gallons/day/sq ft}) of growing area to meet peak summer evapotranspiration demands. Technical Support Systems and Structural Standards Architectural designs must integrate structural, electrical, and mechanical systems to ensure safety and comfort. Structural Layout Grids and Column Spacing The selection of structural grids is determined by the functional programming of the internal spaces. For commercial office buildings, standard structural grids are designed around multiples of 0.6\text{ m}, 1.2\text{ m}, or 1.5\text{ m} to align with standard ceiling tiles, lighting layouts, and partition locations. For naturally ventilated offices, structural depths are usually designed be
17	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0224	[Table 12] \| Standard interior wall (no insulation): STC 33 \| \| \| - normal speech clearly understood \| \| \| \| \|
18	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0220	 Testing Services, https://www.ngctestingservices.com/blog/sound-transmission-class-ratings 60. Thermal Comfort Basics: What is ASHRAE 55? \| SimScale Blog, https://www.simscale.com/blog/what-is-ashrae-55-thermal-comfort/ 61. Standard 55 – Thermal Environmental Conditions for Human Occupancy - ASHRAE, https://www.ashrae.org/technical-resources/bookstore/standard-55-thermal-environmental-condi tions-for-human-occupancy 62. How ASHRAE 55 standard define comfort - tensorhvac, https://tensorhvac.com/how-ashrae-55-standard-define-comfort 63. ANSI/ASHRAE Standard 55-2023 - Smart Air Defense, https://smartairdefense.com/wp-content/uploads/2025/10/ASHRAE-Standard-55.pdf 64. ANSI/ASHRAE Standard 55-2010, https://shop.iccsafe.org/media/wysiwyg/material/8950P219-sample.pdf 65. CBE Thermal Comfort Tool for ASHRAE-55, https://comfort.cbe.berkeley.edu/ 
19	building-typologies-design-guide	building-typologies-design-guide:sec-4-1	0.0218	to } 200\text{ mm} above countertop Dimensional Standards for Doors, Windows, and Pipes Integrating standard construction components prevents sizing errors during document preparation and on-site assembly. Under British Standard (BS 4787-1:1980) and European guidelines, standard door dimensions must meet specific width, height, and accessibility targets: Table 3: Dimensional Standards for Residential and Commercial Openings Opening Element Type Standard Height  Standard Width  Operational Clearance Requirements Metric Internal Door Leaf 2040\text{ mm}  526, 626, 726, 826, 926\text{ mm} Door frame thickness of 40\text{ or } 44\text{ mm}. Standard External  2000\text{ mm}  807\text{ mm}  Requires threshold Opening Element Type Standard Height  Standard Width  Operational Clearance Requirements Door  heights \le 15\text{ mm} for wheelchair roll-over. BS 4787-1 External Door 1994\text{ mm}  806, 906\text{ mm}  Designed for coordinated masonry openings. New Construction Entryway 2100\text{ mm} (frame) 900\text{ mm} (coordination) Must provide 800\text{ mm} minimum effective clear opening. Public Entrance Doorway 2100\text{ mm} (frame) 1000\text{ mm} minimum Required for general public e
20	saz-catalogue	saz-catalogue:sec-43-13.020	0.0215	EN 006 Noise limits (MS173) Preparatory 17.140.20 1 Idts MSI 73 EN 007 (ISO TC 247) ISO DIS 50003 Energy management systems- Requirements for bodies providing audit and certification of energy management systems DIS 27.010 1 Idt ISO 50003 ISO DIS 50005 EMS Implementation of 50001 CD 27.010 1 Idt ISO 50005 ISO DIS 50006 EMS Evaluation of energy performance DIS 27.010 1 Idt ISO 50006 ISO DIS 50009 EMS Guidelines for multiple DIS 27.010 1 Idt ISO/DIS 50009 ISO AWI 50010 EMS Guidelines for zero net AWI 27.010 1 Idt ISO 50010 EN009 ZWS 558 (SR) Effluent waste water CD 13.060.30 2 EN 001 ZWS ISO 14031 EM –environmental performance evaluation guidelines SR 13.020 2 Idt ISO 14031 EN 001 ZWS ISO/DIS 14063 EM- environmental communication guidelines and examples DIS 13.020 2 Idt ISO/DIS 14063 Safety, Health, Environment and Quality SA 013 ZWS 275 Fire detection and alarm systems in buildings CD 13.220.20 2 SA 013 ZWS 275 ( Fire detection and alarm systems in buildings CD 13.220.20 2 QA 002 ZWS ISO 9000 Quality management systems- Fundamentals and vocabulary IS 03.120.10 2 Idt ISO 9000 ISO 9004 QM – Managing for the sustained success of an organization and quality management approach IS 03.120
